Country,Company Name,2017,2018,2019,2020,2021,2022
India,Bharat Petroleum,37.8[388][jt][ju],45.9[390][jv][jw],44.2[392][jx][jy],41.3[392][jz][ka],58.8[395][kb][kc],68.0[397][kd][ke]
India,Hindustan Petroleum,33.2[399][kf][kg],28.2[400][kh][ki],39.0[401][kj][kk],36.8[401][kl][km],50.8[402][kn][ko],59.4[404][kp][kq]
India,Indian Oil Corporation,61.7[405][kr][ks],69.5[406][kt][ku],76.9[408][kv][kw],70.1[408][kx][ky],99.8[409][kz][la],119.5[411][lb][lc]
India,Oil and Natural Gas Corporation,14.3[412][ld][le],17.1[412][lf][lg],14.6[413][lh][li],10.1[413][lj][lk],14.8[414][ll][lm],20.7[415][ln][lo]
India,Reliance Petroleum,66.2[416][lp],81.9[418][lq],64.5[420][lr][ls],43.4[420][lt][lu],107.0[424][lv][lw],124.0[426][lx][ly]
Indonesia,Pertamina,46.0[428],57.9[428],54.7[429],41.4[429],57.5[430],95.9[431]
Iran,National Iranian Oil Company,110.0[432],[lz],[ma],[mb],[mc],[md]
Iraq,Iraq National Oil Company,59.4[434][me],73.4[436][mf],78.5[437][mg],42.0[438],75.6[439],115.0[439]
Israel,BAZAN Group,5.6[440],6.6[440],6.4[441],4.1[441],6.5[441],10.8[442]
Israel,Delek,1.9[443][mh],2.2[443][mi],0.9[446][mj],1.9[446][mk],2.4[446][ml],3.5[450][mm]
Israel,Paz Oil Company,3.1[452][mn],3.9[453][mo],3.5[453][mp],2.3[453][mq],3.5[454][mr],4.2[456][ms]
Italy,Eni,75.6[458][mt],89.5[458][mu],78.2[459][mv],50.2[460][mw],90.5[460][mx],139.3[461][my]
Italy,Saras S.p.A.,8.6[463][mz],12.1[463][na],10.5[463][nb],5.9[463][nc],10.1[463][nd],16.6[464][ne]
Japan,Cosmo Oil Company,22.4[466][nf][ng],25.2[466][nh][ni],25.1[469][nj][nk],20.9[469][nl][nm],22.2[472][nn][no],21.4[474][np][nq]
Japan,Eneos Holdings,91.6[476][nr][ns],101.2[478][nt][nu],92.1[478][nv][nw],71.9[481][nx][ny],99.3[481][nz][oa],115.6[483][ob][oc]
Japan,Idemitsu Kosan,33.9[484][od][oe],40.7[484][of][og],56.8[484][oh][oi],41.4[484][oj][ok],60.8[486][ol][om],72.8[487][on][oo]
Japan,Inpex,7.7[488][op][oq],8.4[488][or][os],9.2[491][ot],7.2[493][ou],11.3[493][ov],17.8[496][ow]
Kazakhstan,KazMunayGas,16.5[498][ox],22.8[498][oy],20.7[498][oz],9.6[502][pa],15.5[502][pb],19.1[505][pc]
Kuwait,Kuwait Petroleum Corporation,81.7[507],78.0[508],69.0[508],39.3[509],52.7[510],
Libya,National Oil Corporation,,24.4[511],20.3[512],5.9[513][pd],21.5[515],22.0[516]
Malaysia,Petronas,52.0[517][pe],62.2[519][pf],58.0[519][pg],42.5[522][ph],59.8[522][pi],85.4[525][pj]
Mexico,Pemex,70.6[527],85.4[528],74.3[529],47.8[530],72.6[531],122.7[532]
Myanmar,Myanma Oil and Gas Enterprise,3.1[533][pk],,,0.9[534][pl],1.7[535],
Netherlands,SBM Offshore,1.2[536],1.7[536],2.9[537],2.9[537],3.7[538],4.9[538]
Netherlands,Royal Vopak,1.5[539][pm],1.5[540][pn],1.7[540][po],1.3[544][pp],1.4[544][pq],1.5[547][pr]
Nigeria,Nigerian National Petroleum Corporation,0.2[548][ps],5.3[548][pt],12.9[551][pu],9.6[551][pv],16.0[554][pw],
Norway,Aker BP,2.5[556],3.7[557],3.3[557],2.9[558],5.6[559],13.0[559][px]
Norway,Equinor,60.9[561],78.5[561],62.9[561],45.7[562],88.7[562],150.8[563]
Oman,OQ,[py],23.0[566],19.0[566],14.0[567][pz],22.7[567][qa],39.1[570]
Oman,Petroleum Development Oman,,,,13.9[571][qb],21.2[572][qc],28.6[573][qd]
Pakistan,Pakistan State Oil,10.4[575][qe],10.8[575][qf],8.9[575][qg],8.0[575][qh],8.6[575][qi],13.2[581][qj]
Peru,Petroperú,4.0[583],4.9[583],4.6[583],3.1[584],4.2[584],5.5[585]
Poland,Grupa Lotos,6.4[586][qk],8.3[586][ql],7.7[586][qm],5.4[586][qn],8.6[586][qo],[qp]
Poland,PGNiG,9.5[593][qq],11.4[594][qr],10.9[594][qs],10.0[595][qt],18.1[595][qu],[qv]
Poland,PKN Orlen,25.3[597][qw],30.4[598][qx],28.9[599][qy],22.1[600][qz],32.3[600][ra],62.6[601][rb]
Portugal,Galp Energia,17.3[603][rc],20.6[604][rd],19.2[604][re],13.5[606][rf],19.5[606][rg],28.6[609][rh]
Qatar,Nakilat,0.9[610][ri],0.9[612][rj],1.0[612][rk],1.1[615][rl],1.1[615][rm],1.2[618][rn]
Qatar,QatarEnergy,25.9[620][ro],29.9[620][rp],29.8[621][rq],21.0[621][rr],34.9[622][rs],53.8[623][rt]
Romania,OMV Petrom,4.7[626],5.7[626],6.0[626],4.6[626],6.2[626],13.1[627][ru]
Russia,Gazprom,112.5[629][rv],131.5[631][rw],118.7[631][rx],87.8[631][ry],138.7[635][rz],80.0[637][sa]
Russia,Lukoil,102.1[638][sb],128.5[639][sc],121.5[639][sd],78.3[640][se],128.3[640][sf],
Russia,Novatek,9.9[642][sg],13.3[644][sh],13.3[644][si],9.8[647][sj],15.7[647][sk],
Russia,Rosneft,84.1[649][sl],131.8[650][sm],134.4[650][sn],83.1[651][so],121.1[651],124.9[653]
Russia,Sovcomflot,1.4[654],1.5[654],1.6[655],1.5[656],1.6[656],
Russia,Surgutneftegas,20.2[657][sp],24.8[657][sq],24.3[657][sr],14.9[657][ss],25.6[662][st],
Russia,Tatneft,11.7[664][su],14.5[665][sv],14.4[665][sw],10.0[666][sx],13.6[667],
Russia,Transneft,15.2[668][sy],15.6[668][sz],16.4[669][ta],13.3[669][tb],14.6[670][tc],
Saudi Arabia,Bahri,1.6[672][td],1.6[674][te],1.7[674][tf],2.2[677][tg],1.4[677][th],2.2[680][ti]
Saudi Arabia,Saudi Aramco,264.1[682],359.2[683],329.8[684],229.8[685],400.4[685],604.3[686]
South Africa,Sasol,12.9[687][tj][tk],13.5[687][tl][tm],14.1[690][tn][to],12.0[690][tp][tq],13.1[690][tr][ts],
South Korea,GS Caltex,27.2[694][tt],32.7[696][tu],29.9[696][tv],17.8[699][tw],31.0[699][tx],46.8[702][ty]
South Korea,Korea National Oil Corporation,2.9[704][tz],2.8[706][ua],2.6[706][ub],1.5[709][uc],1.9[709][ud],1.5[712]
South Korea,SK Innovation,41.2[713],48.7[713],45.3[714],31.4[714],42.1[715][ue],64.4[717][uf]
Spain,CEPSA,20.5[719][ug],26.0[719][uh],23.6[720][ui],15.5[720][uj],26.4[721][uk],32.8[722][ul]
Spain,Repsol,49.1[724][um],59.3[725][un],57.2[725][uo],39.9[726][up],61.6[726][uq],82.9[727][ur]
Sweden,Lundin Energy,1.9[729],2.6[729],2.9[729],2.5[730],5.4[730],[us]
Switzerland,Puma Energy,15.1[731],15.3[732],14.5[733],8.1[734],10.9[734],15.8[735]
Taiwan,CPC Corporation,29.1[736][ut],33.9[736][uu],32.5[739][uv],24.2[739][uw],31.9[742][ux],41.0[744][uy]
Taiwan,Formosa Petrochemical,20.5[746][uz],25.4[746][va],20.9[747][vb],14.1[749][vc],22.1[751][vd],28.4[753][ve]
Thailand,PTT,60.3[755][vf],73.4[755][vg],72.8[755][vh],51.7[759][vi],70.7[759][vj],96.3[762][vk]
Trinidad and Tobago,Trinidad Petroleum Holdings,2.9[764][vl][vm],3.6[764][vn][vo],0.7[767][vp][vq],0.7[767][vr][vs],1.0[770][vt][vu],1.4[772][vv][vw]
Turkey,TPAO,1.6[774],2.0[774],1.0[775],0.7[776],0.7[777][vx],
Ukraine,Naftogaz,8.5[779][vy],9.4[779][vz],5.8[782][wa],5.9[782][wb],8.0[785][wc],
United Arab Emirates,Abu Dhabi National Oil Company,5.3[787],6.2[787],5.8[787],4.3[787],5.6[787],8.7[787]
United Arab Emirates,Emirates National Oil Company,16.4[788],21.0[788],,,,
United Kingdom,BP,244.5[789],303.7[789],282.6[789],105.9[790][wd],157.7[790],248.8[792]
United Kingdom,Centrica,28.0[793],27.3[794],15.9[795],14.9[796],18.3[796],41.6[797][we]
United Kingdom,Harbour Energy,[wf],[wg],[wh],2.4[800],3.4[800],5.4[801]
United Kingdom,Neptune Energy,,2.5[802],2.2[803],1.5[803],2.4[804],4.6[804]
United Kingdom,Shell,211.8[805],396.5[805],352.1[806],183.1[806],272.6[806],386.2[807]
United Kingdom,Tullow Oil,1.7[808],1.8[809],1.6[809],1.3[810],1.2[810],1.7[811]
United States,APA Corporation,5.9[812],7.3[812],6.5[813],4.4[813],8.0[813],11.0[814]
United States,Cheniere Energy,5.6[815],7.9[815],9.7[816],9.3[816],15.8[816],33.4[817]
United States,Chesapeake Energy,10.0[818],10.0[818],8.5[819],5.2[819],5.8[819],11.7[820]
United States,Chevron Corporation,141.7[821],166.3[821],139.9[821],94.4[822],162.4[823],246.2[824]
United States,Civitas Resources,,,,0.2[825],0.9[825],3.7[825]
United States,ConocoPhillips,32.5[826],38.7[826],36.6[827],19.2[827],45.8[827],82.1[828]
United States,Coterra Energy,,,,1.4[829],3.4[829],9.0[829]
United States,Devon Energy,6.5[830],8.9[830],6.2[831],4.8[831],12.2[831],19.1[832]
United States,Energy Transfer Partners,40.5[833],54.0[833],54.2[834],38.9[834],67.4[834],89.8[835]
United States,Enterprise Products,29.2[836],36.4[837],32.7[837],27.1[838],40.7[838],58.1[839]
United States,EOG Resources,11.2[840],17.2[840],17.3[841],11.0[841],18.6[841],25.7[842]
United States,EQT,2.6[843],4.6[843],3.7[844],2.6[844],6.8[844],12.1[845]
United States,Equitrans Midstream,0.8[846],1.4[846],1.6[847],1.5[847],1.3[847],1.3[848]
United States,ExxonMobil,244.3[849],290.2[849],264.9[850],181.5[851],285.6[852],413.6[853]
United States,HF Sinclair,14.2[854],17.7[855],17.4[855],11.1[855],18.3[856][wi],38.2[859]
United States,Hess Corporation,5.3[860],6.4[860],6.5[861],4.8[861],7.5[861],11.5[862]
United States,Kinder Morgan,13.7[863],14.1[863],13.2[864],11.7[864],16.6[864],19.2[865]
United States,Magellan Midstream Partners,2.5[866],2.8[866],2.6[867],2.3[867],2.7[867],3.2[868]
United States,Marathon Petroleum,74.7[869],96.5[869],123.9[870],69.7[871],119.9[872],179.9[873]
United States,Northern Oil and Gas (NOG),,,,0.5[874],0.4[874],1.5[874]
United States,Occidental Petroleum,13.2[875],18.9[875],21.7[876],16.2[876],26.3[876],37.0[877]
